Id,Description,Invisible,Removable,Name,StatsKeys,Flag0,Unknown0,Flag1,Maximum_StatsKey,Current_StatsKey,Flag2,Unknown1,BuffVisualsKey,Flag3,Flag4,Unknown2,Flag5,Flag6,Flag7,Flag8,BuffLimit,Flag10,Id2,IsRecovery,Flag11,Flag12,Key0,Flag13,Unknown3,Flag14,Flag15,Unknown4,Data0,Flag16,Flag17,Key1,Flag18,Keys0,Keys1,Keys2,Keys3,Flag19,Unknown5,Key2,Unknown6
ignited,You're on fire,False,False,Ignited,"[<8077, 0>]",False,13,False,"<null, null>","<null, null>",True,22,"<2, 0>",False,False,2,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<0, 88>",False,[],[],"[<8077, 0>]","[<14561, 0>]",False,0,"<null, null>",[]
chilled,You are slowed,False,False,Chilled,"[<8413, 0>]",True,13,False,"<null, null>","<null, null>",True,1,"<3, 0>",False,False,2,False,True,True,False,0,False,,True,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<0, 180>",False,[],[],"[<8413, 0>]","[<14562, 0>]",False,65792,"<null, null>",[]
frozen,Frozen solid,False,False,Frozen,"[<12437, 0>]",True,13,False,"<null, null>","<null, null>",True,22,"<4, 0>",False,False,2,False,True,True,False,0,False,FreezeBuff,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<0, 288>",False,[],[],"[<12437, 0>]","[<14563, 0>, <1999, 0>]",False,65536,"<null, null>",[]
shocked,You take up to 50% increased Damage,False,False,Shocked,"[<477, 0>]",False,13,False,"<null, null>","<null, null>",True,2,"<5, 0>",False,False,2,False,True,True,False,0,False,,True,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<0, 430>",False,[],[],"[<477, 0>]","[<14564, 0>]",False,65792,"<null, null>",[]
sprinting,Increased movement velocity,False,True,Faster Run,"[<177, 0>]",True,2,False,"<null, null>","<null, null>",False,22,"<7, 0>",True,False,1,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<0, 558>",False,[],[],"[<177, 0>]",[],False,0,"<null, null>",[]
flask_effect_life,,True,False,Healing,"[<7698, 0>]",True,5,False,"<null, null>","<null, null>",False,22,"<0, 0>",True,False,4,False,True,True,True,0,False,,True,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<0, 630>",False,[],[],"[<7698, 0>]",[],False,0,"<null, null>",[]
grace_period,You can't be damaged,False,True,Grace Period,"[<140, 0>, <861, 0>, <1304, 0>, <8164, 0>, <2975, 0>, <6829, 0>, <6828, 0>]",True,2,False,"<null, null>","<null, null>",False,22,"<8, 0>",True,False,16,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<0, 794>",False,[],[],"[<140, 0>, <861, 0>, <1304, 0>, <8164, 0>, <2975, 0>, <6829, 0>, <6828, 0>]",[],False,0,"<null, null>",[]
god_mode,You cannot be damaged,False,True,Invulnerability,"[<140, 0>]",True,3,False,"<null, null>","<null, null>",False,22,"<9, 0>",True,False,1,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<0, 958>",False,[],[],"[<140, 0>]",[],False,0,"<null, null>",[]
experience,Increased experience for 30 seconds,False,True,Increased Experience,"[<157, 0>]",True,2,False,"<null, null>","<null, null>",False,22,"<10, 0>",True,False,1,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<0, 1116>",False,[],[],"[<157, 0>]",[],False,0,"<null, null>",[]
flask_effect_mana,,True,False,Regenerating Mana,"[<7699, 0>]",True,5,False,"<null, null>","<null, null>",False,14,"<0, 0>",True,False,4,False,True,True,True,0,False,,True,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<0, 1208>",False,[],[],"[<7699, 0>]",[],False,0,"<null, null>",[]
poison,You take chaos damage,False,False,Poisoned,"[<8078, 0>]",True,1,True,"<null, null>","<null, null>",True,22,"<11, 0>",False,True,2,False,True,True,False,0,False,,False,False,False,"<null, null>",0,2,0,0,0,[],False,False,"<0, 1306>",False,[],[],"[<8078, 0>]","[<14565, 0>]",False,1,"<null, null>",[]
blood_rage,"Taking Physical Damage over time based on Life and Energy Shield, while increasing Attack Speed and Life Leech. Killing an enemy refreshes the buff duration and can grant a Frenzy Charge.",False,False,Blood Rage,"[<70, 0>, <3094, 0>, <2566, 0>, <3060, 0>, <1352, 0>, <12801, 0>, <3114, 0>]",True,2,False,"<null, null>","<null, null>",True,22,"<13, 0>",True,False,1,False,True,True,False,0,False,BloodRageBuff,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<0, 1834>",False,"[<454, 0>]",[],"[<70, 0>, <3094, 0>, <2566, 0>, <3060, 0>, <1352, 0>, <12801, 0>, <3114, 0>, <454, 0>]",[],False,0,"<null, null>",[]
righteous_fire,"You take burning damage, deal burning damage to those around you, and have increased spell damage.",False,False,Righteous Fire,"[<880, 0>, <25, 0>, <879, 0>, <1903, 0>]",True,2,False,"<null, null>","<null, null>",True,22,"<15, 0>",True,False,1,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<0, 2202>",False,[],[],"[<880, 0>, <25, 0>, <879, 0>, <1903, 0>]",[],False,0,"<null, null>",[]
righteous_fire_aura,You are taking burning damage from being near an enemy using Righteous Fire,False,False,Righteous Fire,"[<1977, 0>]",False,3,False,"<null, null>","<null, null>",False,22,"<19, 0>",False,False,2,False,True,True,False,0,False,RighteousFireBuff,False,False,False,"<null, null>",0,4,1,0,0,[],False,False,"<0, 2476>",False,[],[],"[<1977, 0>]",[],False,0,"<null, null>",[]
demon_righteous_fire,"You take burning damage, deal burning damage to those around you, and have increased spell damage.",False,False,Unrighteous Fire,"[<880, 0>, <25, 0>, <879, 0>, <1903, 0>]",True,2,False,"<null, null>","<null, null>",True,22,"<24, 0>",True,False,1,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<0, 2596>",False,[],[],"[<880, 0>, <25, 0>, <879, 0>, <1903, 0>]",[],False,0,"<null, null>",[]
demon_righteous_fire_aura,You are taking burning damage from being near an enemy using Unrighteous Fire,False,False,Unrighteous Fire,"[<1977, 0>]",False,3,False,"<null, null>","<null, null>",False,22,"<25, 0>",False,False,2,False,True,True,False,0,False,RighteousFireBuff,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<0, 2848>",False,[],[],"[<1977, 0>]",[],False,0,"<null, null>",[]
avatar_righteous_fire,"You take burning damage, deal burning damage to those around you, and have increased spell damage.",False,False,Righteous Fire,"[<880, 0>, <25, 0>, <2533, 0>]",True,2,False,"<null, null>","<null, null>",True,22,"<16, 0>",True,False,1,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<0, 2926>",False,[],[],"[<880, 0>, <25, 0>, <2533, 0>]",[],False,0,"<null, null>",[]
avatar_righteous_fire_aura,You are taking burning damage from being near an enemy using Righteous Fire,False,False,Righteous Fire,"[<1977, 0>]",False,3,False,"<null, null>","<null, null>",False,22,"<20, 0>",False,False,2,False,True,True,False,0,False,,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<0, 3014>",False,[],[],"[<1977, 0>]",[],False,0,"<null, null>",[]
invisible_fire_aura,,True,False,,"[<4937, 0>, <4937, 0>, <4937, 0>]",True,3,False,"<null, null>","<null, null>",False,22,"<0, 0>",True,False,2,False,True,True,False,0,False,InvisibleFireAura,False,False,False,"<null, null>",0,4,0,0,0,[],False,False,"<0, 3126>",False,[],[],"[<4937, 0>, <4937, 0>, <4937, 0>]",[],False,0,"<null, null>",[]
